url,id,cyclomatic_complexity,conditional_statements,physical_lines,non_blank_lines,lines_of_code,statements,if_statements,switch_statements,case_labels,ternary_expressions,loops,catch_clauses,boolean_operators,max_nesting_depth,method_calls,return_statements,throw_statements,break_continue,variable_declarations,distinct_variables,field_variables,parameter_variables,local_variables,unresolved_names,ast_nodes
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/ps/PSImageUtils.java#L349-L393,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L349_L393,9,6,45,45,45,34,6,0,0,0,1,0,1,5,26,0,1,0,10,12,0,2,10,2,299
https://github.com/dnsjava/dnsjava/blob/206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095/src/main/java/org/xbill/DNS/NioUdpClient.java#L183-L194,dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-NioUdpClient-L183_L194,5,3,12,11,11,7,3,0,0,0,0,0,1,2,4,0,0,0,1,6,3,1,2,0,75
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless.java#L100-L142,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-TiffImageWriterLossless-L100_L142,12,6,43,38,38,29,6,0,0,0,3,0,2,4,19,0,0,0,13,16,0,1,15,2,291
https://github.com/dnsjava/dnsjava/blob/206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095/src/main/java/org/xbill/DNS/LOCRecord.java#L145-L164,dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-LOCRecord-L145_L164,8,4,20,20,20,14,4,0,0,0,0,1,2,2,12,2,3,0,2,9,0,6,3,0,129
https://github.com/xcsp3team/XCSP3-Java-Tools/blob/1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0/src/main/java/org/xcsp/parser/XParser.java#L812-L828,xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser-L812_L828,10,8,17,17,15,12,3,0,0,5,0,0,1,2,14,0,0,0,6,10,1,2,7,2,201
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L2165-L2208,OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2165_L2208,6,4,44,40,39,29,3,0,0,1,1,0,0,3,24,0,0,0,8,12,3,1,8,2,237
https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/RequestBodyReader.java#L252-L273,3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RequestBodyReader-L252_L273,7,3,22,22,21,15,3,0,0,0,1,1,1,5,11,0,1,0,6,10,1,1,8,1,157
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/util/MemoryCacheSeekableStream.java#L232-L237,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-MemoryCacheSeekableStream-L232_L237,5,2,6,6,6,4,2,0,0,0,0,0,2,1,0,0,2,0,0,3,0,3,0,0,39
https://github.com/fabric8io/docker-maven-plugin/blob/40371e754a6f3122af6d3019508c364627580935/src/main/java/io/fabric8/maven/docker/service/ContainerTracker.java#L128-L139,fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ContainerTracker-L128_L139,4,2,12,12,12,9,2,0,0,0,1,0,0,2,9,0,0,0,4,6,0,1,5,0,84
https://github.com/ThreeTen/threetenbp/blob/bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341/src/main/java/org/threeten/bp/zone/TzdbZoneRulesCompiler.java#L174-L188,ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesCompiler-L174_L188,6,3,15,15,15,10,3,0,0,0,1,0,1,3,8,1,0,0,3,6,0,0,6,1,88
