project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-Transition-L317_L330,2998,1179784,46134,43,35,2233,1683610,64,43,3,5403,267971,43410,17,2
StarlangSoftware-TurkishMorphologicalDisambiguation-bf8dbc2cd835c67178eb896939ad1009b6743486-AutoDisambiguator-L275_L281,2863,1429718,41159,149,9,2240,3359462,61,156,3,5414,268060,33956,23,3
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-Bessel-L297_L300,3970,689447,99097,39,12,2486,154467,22,13,1,5853,259501,35435,14,1
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L520_L532,3813,688054,125076,188,69,2472,157787,34,21,2,5921,537726,110633,136,5
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L570_L576,4433,712491,127853,163,10,2488,161432,25,31,2,5996,529374,113094,151,5
STEMLab-JIneditor-ccca7bec12fe58583d25da0d13ae038b27d34424-CanvasPanel-L401_L417,3961,976886,72077,70,9,2546,171800,25,26,2,7148,378871,60052,26,5
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-ExpressionMethodVisitor-L435_L437,5464,623698,43269,25,24,3462,162154,26,18,1,7437,256709,42639,20,2
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L564_L564,9938,641249,37641,15,3,6621,182280,19,1,1,13622,184257,36223,1,1
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L566_L574,9644,642418,69194,31,12,6588,196985,27,19,1,14632,574489,69155,40,2
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L667_L668,9803,638374,37822,10,7,6532,178972,25,4,1,11131,185933,36686,3,1
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L746_L753,9668,644406,45344,2,2,6543,183702,28,1,1,14762,352106,44004,2,1
stupid1t-poi-excel-7f1834f1e0fa91bed24591ee43e89d95ec39de98-PoiResult-L80_L88,2922,1240488,37350,48,14,2201,160480,25,10,1,7532,464244,35160,30,4
sylvainlaurent-swagger-validator-maven-plugin-980ad67cf33eb53ba27d44738bb8fe3aac3dba01-MimeTypeValidator-L75_L79,3925,173486,27379,36,5,2867,155636,19,5,1,8763,154130,25814,5,1
Thare-Lam-fast-elasticsearch-query-builder-bc6e2adf8333363929e68f3c8dc459c320101aef-AggregationHelper-L43_L54,3949,986965,27749,9,9,2923,158273,22,5,2,8245,158233,26624,5,1
TheHolyWaffle-TeamSpeak-3-Java-API-decd7c8bda74246ac9c0f704599cb4c272ba6181-CommandFuture-L792_L796,3121,983152,28450,1,1,2254,258910,32,2,0,5856,288796,27453,1,1
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1397_L1403,9037,813604,143134,187,14,4999,209166,26,70,3,9505,528526,135999,171,7
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1476_L1485,9330,796253,175245,90,16,5076,194583,31,35,3,9432,506998,106555,69,5
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L507_L519,3311,616939,134813,234,117,2250,156280,21,32,2,5760,544294,133515,234,3
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L551_L564,3278,1259305,135444,218,102,2237,151738,22,17,2,5792,1638197,135191,218,4
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Matcher-L1423_L1427,3231,617288,78650,156,15,2231,155304,25,19,2,6407,497086,83339,155,5
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1129_L1141,3209,617219,143470,247,13,2287,161033,28,45,2,6233,550187,150308,247,6
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1146_L1159,3166,617296,151210,246,16,2274,160944,29,43,2,6242,549483,146110,245,7
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1242_L1246,3181,617539,239041,273,9,2230,164143,20,55,2,6141,883073,230904,257,3
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1462_L1464,3292,617932,30200,25,20,2276,151586,21,6,1,6450,153396,28809,6,1
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1474_L1476,3172,617117,30882,28,20,2270,151353,23,6,1,6494,153369,28614,6,1
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1618_L1626,3206,618220,44534,25,21,2286,154376,21,10,2,6660,164753,37780,8,1
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1633_L1635,3485,619068,30081,21,19,2238,151752,24,6,1,6457,153265,28810,6,1
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1650_L1653,3120,617310,32474,37,10,2191,152204,20,5,2,6550,156505,30596,5,2
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1841_L1850,3143,617808,106491,232,13,2286,1174196,19,232,1,6143,530372,104112,222,4
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1895_L1912,3025,618015,184912,150,12,2332,366885,34,150,4,6590,383027,170096,49,6
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1975_L2002,3194,958921,243269,237,22,2395,2321327,31,236,2,6454,497788,179018,76,12
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L521_L539,3026,616587,171194,159,16,2271,168072,29,58,4,6379,462982,157664,58,7
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L2611_L2627,8083,633455,162061,38,38,5363,1550926,32,61,1,11579,781770,163452,58,1
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L3663_L3671,8421,634379,74162,42,8,5110,233852,25,8,2,11416,678315,70000,27,3
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L4496_L4505,7925,634225,94174,30,5,5225,502286,31,32,2,11653,611666,90334,37,3
tvesalainen-bcc-8bfbb307418a422d57370b2df12fdfb1126f3407-ByteCodeDump-L428_L437,4426,1047040,72043,140,8,2746,1801292,43,142,3,6383,344859,52887,7,2
uber-common-jvm-profiler-07ecfce5bbae89cae1415296d4c6eb7cdd7b7dfa-DatadogOutputReporter-L43_L49,3064,944458,0,0,0,2369,1128977,11,0,0,4792,8327,0,0,0
