project,EXTs_time_all,EXTs_time_success,CONs_time_all,CONs_time_success,EXTr_time_all,EXTr_time_success,CONc_time_all,CONc_time_success,CONrc_time_all,CONrc_time_success,INd_time_all,INd_time_success,INs_time_all,INs_time_success,INr_time_all,INr_time_success
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-idMatX-L5969_L5984,446001,0,215094,0,333718,0,60537,0,657832,0,144552,0,532091,0,145518,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Parser-L2344_L2368,37688,0,37464,0,37458,0,37667,0,37292,0,65418,0,265302,0,123305,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Codec-L269_L281,52824,0,105277,105770,341175,341650,49771,0,655987,0,65424,0,193170,0,113122,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-snd_world-L1522_L1526,53557,0,201249,0,118851,0,61280,0,656448,0,68873,0,250993,0,60152,0
cacfd3a-java-nfa-646a76c291253614abc5708107dee7b4387ca784-NFA-L101_L103,173043,173560,179790,180296,95925,0,31805,0,101344,0,46680,46944,177807,178088,91844,0
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-PdfDataExtractor-L101_L106,169907,0,69121,0,101581,0,41560,0,1071309,0,45227,0,150518,0,102415,0
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-TableRegionDetector-L254_L257,169101,0,65805,0,100736,0,40143,0,953671,0,42142,0,186881,0,97075,0
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L898_L902,206174,206664,562769,563293,115621,116123,46332,0,1105167,0,52416,0,222850,0,46727,0
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L949_L955,221208,221707,281461,281942,106619,0,46120,0,1035146,0,52934,0,229924,0,46089,0
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-IpoGplus-L201_L201,173409,0,68052,0,104374,0,43962,0,469338,0,61090,0,177426,0,102749,0
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-Joiner-L322_L327,29331,0,29358,0,29301,0,29386,0,29188,0,39107,0,165815,0,98388,0
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder-L648_L660,175828,176326,185885,186375,126626,127121,31903,0,1186696,1187225,40361,0,194963,0,33862,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L203_L210,40675,0,40846,0,39582,0,40533,0,40726,0,60933,0,208554,0,108242,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L214_L215,39433,0,40232,0,39834,0,40440,0,40532,0,58976,0,208681,0,108258,0
HelixNetwork-pendulum-919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef-RocksDBPersistenceProvider-L295_L302,174245,0,213874,214395,104144,0,38609,0,610804,0,116749,117047,46840,0,101757,0
inversoft-restify-8522579dded221db5c3822274ecd11a2b6426082-FormDataBodyHandler-L156_L162,165527,166036,63335,63850,521384,521866,29562,0,1143022,1143548,41589,41847,175913,176181,108779,109049
iris-edu-stationxml-seed-converter-7526c0b8fd214af02a767142d97638e7bc129dd9-SeedToXmlDocumentConverter-L129_L135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoonasVali-jartin-d54d145b05666c9e5661fd27ab4c128eb05f1c9f-Stamp-L67_L71,25100,0,24769,0,25270,0,25252,0,24964,0,35998,0,147336,0,34557,0
redis-lettuce-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L203_L214,111923,0,1778170,1778688,189818,0,106562,0,199264,0,152022,0,138606,0,185182,0
LHNCBC-metamaplite-3eac19c131c1c24c16a8e279d171c3747bd1fc76-MetaMapLite-L1588_L1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L270_L317,184914,185419,189614,190116,159500,159997,40045,0,893616,894140,41416,0,392103,0,113078,113344
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SimpleTaggerWithConstraints-L439_L445,269475,269964,125762,0,183602,184117,102902,0,761546,0,139643,0,262720,0,166016,0
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-Vectors2Classify-L268_L274,255078,255580,266145,266645,184032,184511,102781,0,853209,853734,148720,0,254187,0,167371,0
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-EventStoreTcp-L867_L868,188517,0,75581,0,112027,0,51123,0,998331,0,57018,0,179581,0,105982,0
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-IdentificationHandler-L91_L92,197381,197879,249759,250328,113265,113748,45459,0,978388,978888,50285,0,172822,0,101915,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-MathProcessor-L350_L364,32963,0,32815,0,32759,0,32937,0,32678,0,73501,73814,244366,244656,110856,0
