fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L631_L642,12,12,9,0,11,0,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L660_L671,12,12,9,0,12,0,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L697_L708,12,12,9,0,12,11,12,0
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory-L415_L416,0,0,0,0,0,0,0,0
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory-L431_L434,0,0,0,0,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-AbstractDockerMojo-L496_L499,0,0,0,0,0,0,0,0
finmath-finmath-lib-ad5d22e93e335cd88c95f8f2d7ba6336e3947e68-Black76Model-L334_L342,0,0,0,0,0,0,0,0
finmath-finmath-lib-ad5d22e93e335cd88c95f8f2d7ba6336e3947e68-Black76Model-L351_L360,0,0,0,0,0,0,0,0
finos-messageml-utils-8dc8971aee55c36fbc2bce55a5e62ef254cc2eb9-BiContext-L101_L104,6,5,4,0,3,5,5,0
fizzed-jne-199d45bd8728807b61356fd1c0f17079b567ed60-JavaHomes-L211_L213,5,5,0,0,5,0,0,0
forcedotcom-wsc-df588f1411b855687b9dfb5cfa69026e92ebb34e-MXParser-L1929_L1942,18,18,10,0,12,14,0,0
forcedotcom-wsc-df588f1411b855687b9dfb5cfa69026e92ebb34e-MXParser-L1964_L1969,6,6,6,6,5,5,0,0
fsantiag-sonar-clojure-8935e2291d21d57922006bab2f7fdd82d08e415e-EastwoodIssueParser-L23_L30,5,1,5,0,5,10,5,0
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV3Wrapper-L251_L255,8,4,4,0,4,8,0,0
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV4Wrapper-L257_L261,8,4,4,0,4,8,0,0
george-haddad-cardme-2cdb02c627d103041288bc57f06b9deeb02f194a-VCardEngine-L2345_L2353,10,4,4,0,10,6,6,0
googleapis-disco-to-proto3-converter-32cf5993853b1218e97e54c556f3922f49014eb8-DocumentToProtoConverter-L222_L226,9,9,3,0,6,6,0,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-StyleSheetParserTokenManager-L72_L96,28,28,11,28,0,0,0,0
